netid,number,term,grade
ajj29,2041,2019 Spring Term,86
ark47,20188,2018 Fall Term,97
aak42,8769,2019 Spring Term,95
abr26,9131,2018 Spring Term,78
akh48,22329,2019 Spring Term,81
aja33,3824,2019 Spring Term,83
acs89,20823,2018 Fall Term,86
amf84,12978,2019 Spring Term,93
aje24,4764,2017 Fall Term,82
amv33,23658,2019 Spring Term,86
ayt10,20823,2017 Fall Term,83
akh21,5237,2018 Fall Term,99
arp69,15348,2018 Fall Term,80
asz13,8062,2018 Fall Term,81
ajp82,7625,2018 Fall Term,83
awh20,9789,2018 Spring Term,85
ahh26,2945,2019 Spring Term,91
adh55,14971,2017 Fall Term,89
anb24,14567,2017 Fall Term,89
ats46,6503,2018 Spring Term,99
abg28,22156,2018 Fall Term,84
asc69,15348,2019 Spring Term,96
acg59,6496,2018 Spring Term,83
amw77,7884,2017 Fall Term,87
amj55,20824,2018 Fall Term,77
agh22,964,2017 Fall Term,84
agw28,4419,2019 Spring Term,81
ary14,2523,2017 Fall Term,77
asw57,10020,2019 Spring Term,80
aas85,23034,2018 Fall Term,93
asl50,5026,2018 Fall Term,95
ahs50,7694,2017 Fall Term,83
ajh98,1406,2019 Spring Term,98
amk85,1461,2018 Spring Term,88
adp33,14315,2019 Spring Term,84
aia10,8769,2019 Spring Term,99
aep55,7697,2018 Fall Term,81
ahk22,20797,2017 Fall Term,97
aan16,18276,2018 Spring Term,75
aak42,1461,2018 Fall Term,91
asb94,4417,2018 Spring Term,83
bac16,24774,2017 Fall Term,79
aac45,16875,2018 Fall Term,81
akp38,7019,2019 Spring Term,87
ars83,22912,2019 Spring Term,76
arm88,14970,2019 Spring Term,92
ahj10,22534,2018 Spring Term,76
acs80,513,2019 Spring Term,96
ajg67,3743,2018 Fall Term,76
ahk22,25220,2018 Fall Term,97
aee12,20823,2017 Fall Term,94
anb24,10020,2018 Spring Term,91
ajo14,15842,2018 Fall Term,83
adc79,22905,2019 Spring Term,77
aph35,13815,2017 Fall Term,82
atb47,25220,2018 Fall Term,89
ado23,9789,2019 Spring Term,79
ajp77,22215,2018 Fall Term,76
ara47,4417,2018 Fall Term,84
ash43,21706,2018 Fall Term,83
aac45,2945,2017 Fall Term,96
adc62,12940,2018 Spring Term,99
akt23,20797,2019 Spring Term,89
amg73,14970,2018 Spring Term,91
aak48,22156,2017 Fall Term,96
adl49,16875,2017 Fall Term,97
apf23,24349,2017 Fall Term,78
alr80,24914,2018 Spring Term,82
adn22,12979,2018 Fall Term,81
avs28,9579,2019 Spring Term,94
ajr89,22906,2017 Fall Term,87
aea47,2974,2018 Fall Term,77
aem19,15334,2019 Spring Term,82
arc66,5026,2019 Spring Term,99
abg28,19482,2018 Fall Term,94
aah41,24685,2017 Fall Term,81
art40,16389,2018 Fall Term,77
aws31,22177,2018 Fall Term,78
anm60,13851,2019 Spring Term,79
ado12,20138,2017 Fall Term,97
atf23,7019,2019 Spring Term,90
asz13,22505,2018 Fall Term,99
akd35,25052,2018 Spring Term,93
aca33,5030,2019 Spring Term,92
bac45,3752,2018 Spring Term,97
anr44,15264,2018 Fall Term,93
aec53,24400,2018 Fall Term,80
apm34,23299,2017 Fall Term,92
aab79,23266,2017 Fall Term,87
ajz10,4419,2018 Spring Term,76
anm46,12640,2019 Spring Term,88
atf25,24825,2017 Fall Term,82
amt69,24464,2018 Spring Term,94
amp96,3815,2018 Spring Term,91
ajp80,20357,2018 Fall Term,75
akr43,20324,2019 Spring Term,96
acc86,24138,2017 Fall Term,92
agh22,12640,2019 Spring Term,84
aha24,7884,2018 Fall Term,94
aej28,25279,2018 Spring Term,94
anw39,12640,2019 Spring Term,89
agb44,25279,2018 Spring Term,94
asy13,23893,2018 Spring Term,98
aab79,22905,2018 Spring Term,81
aeg48,19482,2018 Fall Term,93
amv34,25220,2018 Fall Term,84
aee12,23893,2018 Spring Term,80
akk45,22409,2017 Fall Term,99
aem94,23230,2018 Spring Term,89
acg58,9194,2018 Spring Term,83
abc50,8322,2018 Fall Term,76
alc91,24138,2017 Fall Term,87
acb67,8048,2017 Fall Term,88
arp69,12979,2017 Fall Term,87
amo39,5901,2018 Fall Term,79
aat18,15348,2018 Spring Term,96
aec41,5836,2017 Fall Term,78
abb54,2313,2019 Spring Term,78
ajw76,16875,2018 Spring Term,97
aaf19,19765,2018 Spring Term,81
aas85,5020,2017 Fall Term,75
adc79,2523,2018 Fall Term,75
anm39,18963,2018 Spring Term,82
ags53,17428,2019 Spring Term,75
acj26,23232,2018 Fall Term,93
afc24,2974,2018 Spring Term,85
aea47,23230,2018 Spring Term,88
ajl71,5577,2017 Fall Term,84
akh48,19765,2017 Fall Term,81
agd33,7627,2018 Fall Term,98
apm36,22156,2018 Fall Term,75
apl18,22534,2018 Spring Term,93
ara47,24180,2018 Spring Term,84
acc86,20357,2018 Fall Term,94
asb90,14770,2018 Spring Term,93
akd33,25659,2019 Spring Term,95
ais30,1461,2018 Spring Term,79
bab97,5026,2019 Spring Term,77
abc50,22905,2018 Spring Term,99
asf47,15348,2018 Spring Term,81
adf35,6839,2017 Fall Term,79
arw59,21967,2018 Spring Term,82
ata19,5902,2017 Fall Term,89
ahp13,24969,2018 Fall Term,95
ahs50,20820,2018 Spring Term,96
avs28,16850,2017 Fall Term,92
apk22,23658,2017 Fall Term,82
abf20,1424,2019 Spring Term,95
abw53,2965,2018 Fall Term,87
ask59,8322,2019 Spring Term,99
asg43,23876,2018 Spring Term,75
akv11,22675,2018 Fall Term,98
aps52,13670,2018 Fall Term,76
awc27,8062,2019 Spring Term,78
aam98,19468,2017 Fall Term,75
adk30,22912,2019 Spring Term,76
ahl23,14315,2017 Fall Term,77
ajp63,24135,2018 Fall Term,90
bac45,2315,2018 Spring Term,82
ajp78,4932,2018 Fall Term,93
aak47,1399,2017 Fall Term,95
ach45,19765,2019 Spring Term,97
aef38,10977,2019 Spring Term,79
ago11,6495,2018 Fall Term,87
aec53,5716,2019 Spring Term,86
abc49,22912,2018 Fall Term,98
avs26,5716,2018 Spring Term,98
ath36,12940,2018 Spring Term,79
ala24,15348,2018 Spring Term,89
apw28,4417,2017 Fall Term,85
amg99,14970,2019 Spring Term,89
aac20,2728,2019 Spring Term,84
ata19,23651,2019 Spring Term,78
abb73,23034,2018 Fall Term,85
asf25,13670,2018 Spring Term,83
apm34,16219,2018 Fall Term,79
akd16,23520,2018 Fall Term,79
akt24,16875,2018 Fall Term,78
baa26,23893,2019 Spring Term,81
afp15,23893,2018 Spring Term,99
ack48,20818,2018 Fall Term,99
alw96,14315,2017 Fall Term,88
anm60,19142,2018 Spring Term,78
amo34,1461,2017 Fall Term,93
ahf13,23893,2018 Spring Term,94
alj48,17911,2017 Fall Term,88
aeb77,2046,2017 Fall Term,82
apw10,19765,2017 Fall Term,92
arl45,20357,2018 Fall Term,86
apk18,8322,2017 Fall Term,86
alm69,1403,2018 Fall Term,90
ald59,23350,2018 Spring Term,86
akb54,25105,2019 Spring Term,76
aeb94,2974,2018 Fall Term,79
ajj23,22675,2017 Fall Term,95
att11,7453,2018 Fall Term,93
ajt36,4764,2018 Fall Term,82
abb56,16955,2017 Fall Term,77
abs76,15842,2018 Fall Term,89
aam85,25279,2018 Spring Term,78
asj19,4419,2019 Spring Term,97
apa17,21852,2018 Spring Term,93
aws31,8322,2018 Fall Term,75
ade17,14779,2018 Spring Term,76
acw63,7906,2019 Spring Term,83
aba32,19765,2017 Fall Term,98
alk44,14315,2017 Fall Term,93
awc27,23540,2018 Fall Term,77
awj12,25322,2018 Fall Term,86
ace29,17911,2019 Spring Term,80
amf84,5720,2017 Fall Term,75
adg55,22203,2018 Fall Term,79
asc78,24656,2019 Spring Term,93
adp33,24825,2018 Fall Term,78
act39,2315,2018 Spring Term,89
ads50,13857,2018 Fall Term,92
acs98,20953,2018 Fall Term,90
amk90,1004,2018 Spring Term,87
adw67,22505,2018 Fall Term,88
afc24,6298,2017 Fall Term,80
abs53,21534,2018 Spring Term,75
alp58,24400,2018 Spring Term,82
akn13,22409,2017 Fall Term,95
aha19,964,2017 Fall Term,76
aaw38,15334,2018 Fall Term,87
ajl71,22534,2018 Spring Term,99
ama78,6792,2017 Fall Term,85
aep55,24776,2019 Spring Term,99
agk21,22130,2018 Fall Term,94
ahf12,16881,2018 Spring Term,89
atg18,24825,2017 Fall Term,86
ale26,23230,2018 Spring Term,86
apk21,22156,2017 Fall Term,86
aep56,21524,2018 Spring Term,79
amj62,23130,2017 Fall Term,88
aep47,4417,2019 Spring Term,98
ajl73,9789,2018 Spring Term,99
aew53,2586,2018 Fall Term,95
anp36,18272,2018 Fall Term,99
ase21,5020,2019 Spring Term,85
agd26,2523,2019 Spring Term,84
asc69,9781,2018 Spring Term,82
adf31,19923,2018 Spring Term,97
ajl73,23278,2018 Spring Term,99
avb11,24372,2018 Spring Term,98
aph40,6792,2019 Spring Term,93
abb73,1860,2019 Spring Term,96
adh66,8322,2018 Fall Term,92
ahl24,22918,2017 Fall Term,94
anl21,22675,2018 Fall Term,96
ald57,23893,2019 Spring Term,86
abn15,23540,2018 Fall Term,85
aec53,1424,2019 Spring Term,89
agd18,3033,2019 Spring Term,90
ahw29,20138,2017 Fall Term,99
abd30,9150,2018 Spring Term,89
ajp73,20953,2017 Fall Term,93
ary14,4278,2017 Fall Term,96
abm43,7258,2019 Spring Term,95
abb73,24776,2019 Spring Term,92
avb11,3807,2017 Fall Term,80
aal31,20820,2018 Spring Term,81
ajg63,20823,2017 Fall Term,84
bac33,1853,2017 Fall Term,91
ahs31,24426,2018 Spring Term,81
amj55,3824,2018 Spring Term,85
agp11,22505,2018 Fall Term,92
aac20,20818,2018 Fall Term,90
ajg62,5903,2018 Fall Term,89
asb89,24138,2017 Fall Term,82
akb53,17499,2018 Spring Term,82
ajg62,6298,2018 Spring Term,88
adf24,19482,2019 Spring Term,77
arp68,21366,2019 Spring Term,87
ame49,7528,2018 Spring Term,76
acw63,4419,2018 Fall Term,77
ahk22,1406,2018 Spring Term,91
ajp53,22675,2017 Fall Term,75
aha24,13594,2017 Fall Term,81
alg88,25098,2018 Spring Term,75
anl27,24432,2018 Fall Term,76
acf31,3815,2019 Spring Term,89
akd12,24915,2018 Fall Term,98
amn40,2046,2019 Spring Term,75
akt23,8766,2018 Spring Term,87
ajn24,4417,2018 Spring Term,94
ahc26,5904,2018 Fall Term,75
ana25,23876,2019 Spring Term,91
akh49,22766,2018 Spring Term,86
acs89,4419,2019 Spring Term,78
anm60,22156,2018 Fall Term,91
ark45,3815,2019 Spring Term,76
adm60,3824,2018 Fall Term,93
abc52,7979,2017 Fall Term,85
acl43,23520,2017 Fall Term,78
abt23,23351,2017 Fall Term,81
aps55,20324,2018 Fall Term,89
ard51,13594,2018 Fall Term,96
aww30,23568,2018 Fall Term,89
acw63,16428,2018 Fall Term,82
aab83,24825,2017 Fall Term,82
anm39,19374,2017 Fall Term,95
apj11,81,2018 Spring Term,96
asc69,21528,2019 Spring Term,86
arm85,13958,2018 Fall Term,81
agd26,1399,2018 Fall Term,90
amm73,15842,2017 Fall Term,85
amz19,3743,2018 Spring Term,87
ajk46,6875,2019 Spring Term,87
ajc94,14971,2017 Fall Term,86
asj19,17515,2018 Spring Term,83
akb71,8062,2018 Fall Term,94
aln18,3815,2019 Spring Term,89
aas74,1860,2019 Spring Term,88
art40,12977,2017 Fall Term,83
ans63,5030,2019 Spring Term,82
akh47,22914,2017 Fall Term,77
anl31,19765,2018 Spring Term,75
ask59,4062,2018 Spring Term,91
aam99,24400,2017 Fall Term,79
amr68,9781,2017 Fall Term,84
amz19,7253,2018 Fall Term,97
abc50,23922,2018 Spring Term,81
alp49,13103,2018 Spring Term,77
aps54,1461,2019 Spring Term,97
baa23,2586,2019 Spring Term,80
aas74,82,2019 Spring Term,81
ads99,25187,2018 Fall Term,79
adc62,5020,2018 Spring Term,88
alw89,22203,2017 Fall Term,90
asb81,5716,2018 Spring Term,98
anl27,1876,2018 Fall Term,88
atj14,8322,2017 Fall Term,91
alw97,7789,2018 Spring Term,88
ado20,21369,2019 Spring Term,95
amr88,24372,2018 Spring Term,83
ahf12,20906,2019 Spring Term,77
ant28,22156,2017 Fall Term,82
aea42,7550,2019 Spring Term,85
ajp73,7796,2018 Fall Term,87
abc52,24135,2017 Fall Term,95
adb76,12979,2018 Fall Term,76
arl41,5028,2019 Spring Term,89
awf11,2586,2019 Spring Term,75
atn13,20953,2018 Fall Term,95
adl49,24426,2018 Spring Term,75
ala24,24138,2017 Fall Term,91
ajp63,8062,2018 Spring Term,82
arc71,18465,2018 Spring Term,76
acm92,3743,2019 Spring Term,94
alp58,24138,2017 Fall Term,89
acy14,4419,2017 Fall Term,88
acj33,14447,2017 Fall Term,76
aem93,25322,2018 Fall Term,96
ajw50,7453,2018 Fall Term,77
ajr84,1410,2017 Fall Term,90
aem94,16428,2018 Fall Term,93
akb54,82,2018 Spring Term,96
adm61,13594,2018 Fall Term,75
anr45,12979,2017 Fall Term,82
ahk23,22766,2019 Spring Term,79
amg33,8766,2019 Spring Term,83
akh11,13594,2018 Fall Term,93
aem91,20797,2017 Fall Term,78
aar26,14770,2018 Fall Term,80
aer52,23679,2018 Fall Term,99
abh22,18235,2019 Spring Term,92
aaa75,20188,2017 Fall Term,75
ahc26,19765,2019 Spring Term,95
asy13,3513,2018 Spring Term,93
ars94,19765,2019 Spring Term,99
aaa87,3743,2018 Fall Term,94
ajc91,24372,2018 Spring Term,87
aar37,10025,2017 Fall Term,97
agc26,21550,2017 Fall Term,82
ans63,16881,2018 Fall Term,85
alh93,25105,2018 Spring Term,84
anm39,3033,2018 Spring Term,88
amf80,21706,2018 Fall Term,97
ags42,1461,2018 Spring Term,92
aak26,12978,2019 Spring Term,75
aja33,23529,2019 Spring Term,81
act40,8322,2018 Spring Term,81
ard44,17410,2018 Fall Term,90
aek42,7906,2018 Fall Term,78
agb41,24400,2018 Spring Term,97
afa19,9131,2018 Spring Term,76
atj14,13851,2019 Spring Term,77
aaw49,21706,2018 Fall Term,99
akt21,5718,2019 Spring Term,85
asc67,2313,2019 Spring Term,79
adn22,1004,2017 Fall Term,86
akd12,13670,2019 Spring Term,91
amr88,7253,2017 Fall Term,97
amt69,4419,2019 Spring Term,89
aam99,6840,2018 Spring Term,76
aah52,7796,2018 Fall Term,94
apk22,18808,2018 Spring Term,75
ajl89,25279,2018 Spring Term,85
acg58,20819,2018 Fall Term,85
akh48,19400,2017 Fall Term,90
arc75,3807,2018 Spring Term,92
ajd66,6503,2018 Spring Term,76
abk42,23957,2018 Fall Term,99
abh44,15531,2019 Spring Term,93
alw96,8769,2018 Spring Term,97
aro13,4419,2018 Fall Term,95
awj12,8766,2019 Spring Term,75
anw36,20138,2019 Spring Term,77
amw77,7872,2017 Fall Term,93
aia10,10022,2019 Spring Term,83
arh58,19913,2018 Spring Term,77
ags40,6875,2018 Spring Term,96
ajm70,17498,2018 Spring Term,79
aag44,22130,2018 Fall Term,98
aap45,20188,2017 Fall Term,94
adb67,22215,2017 Fall Term,91
awm21,18477,2018 Spring Term,93
ajd43,22534,2018 Spring Term,84
ahl26,15348,2017 Fall Term,98
asg43,1397,2018 Spring Term,94
asb90,15348,2018 Fall Term,92
abc50,7884,2017 Fall Term,80
aos12,2315,2018 Fall Term,91
aak26,18276,2019 Spring Term,83
ans63,22203,2018 Fall Term,97
apf23,24135,2018 Fall Term,89
ajw76,20357,2019 Spring Term,90
akk45,22914,2017 Fall Term,83
amt58,20324,2019 Spring Term,89
ama78,24704,2018 Fall Term,81
adk16,12979,2018 Spring Term,87
amg89,18277,2018 Fall Term,80
ajm70,3033,2018 Spring Term,95
ahj10,7596,2017 Fall Term,77
ags42,19643,2017 Fall Term,81
abg28,15531,2019 Spring Term,84
amg33,17124,2018 Spring Term,88
afs37,22912,2019 Spring Term,78
aar37,1461,2019 Spring Term,87
alt37,24135,2017 Fall Term,95
aha19,4925,2018 Fall Term,96
aas85,9781,2018 Fall Term,97
alh93,22805,2018 Fall Term,83
adg55,23288,2017 Fall Term,95
adc79,14770,2018 Spring Term,94
ark47,4773,2018 Fall Term,75
aws31,8769,2018 Spring Term,76
abb70,24138,2017 Fall Term,94
ajp82,18272,2018 Fall Term,86
amo34,1853,2018 Fall Term,94
ars93,3513,2018 Spring Term,89
amp96,17124,2017 Fall Term,81
ajl88,17292,2017 Fall Term,98
ajm70,22914,2018 Spring Term,99
abw36,5901,2018 Fall Term,89
aam98,5716,2018 Spring Term,78
alc73,21366,2019 Spring Term,95
ahw29,23278,2017 Fall Term,97
afc26,15262,2019 Spring Term,98
act47,18808,2017 Fall Term,76
aam62,14970,2019 Spring Term,88
abd30,22675,2017 Fall Term,85
aep38,8769,2019 Spring Term,96
arb71,19765,2018 Spring Term,98
awg13,6793,2018 Spring Term,77
all75,2945,2018 Spring Term,80
ajd43,10020,2017 Fall Term,79
ajf40,22203,2017 Fall Term,94
anr41,1410,2017 Fall Term,92
akl41,8769,2019 Spring Term,89
akm55,25279,2019 Spring Term,87
aww29,19913,2019 Spring Term,93
abb70,19023,2018 Fall Term,89
akg38,16881,2017 Fall Term,92
amg73,24372,2018 Spring Term,76
agh22,13956,2018 Fall Term,96
acs97,22203,2018 Fall Term,78
avs28,24914,2018 Spring Term,76
aks87,19640,2018 Fall Term,85
ajd42,5718,2018 Spring Term,91
amj60,4417,2018 Spring Term,84
acj35,5901,2017 Fall Term,94
aec58,22906,2018 Fall Term,76
awm27,9131,2018 Spring Term,85
att11,23529,2019 Spring Term,95
asd41,14770,2019 Spring Term,88
all72,1853,2019 Spring Term,83
acm61,16881,2018 Spring Term,82
ajw50,7274,2018 Spring Term,84
adf35,12978,2018 Spring Term,75
adb67,25279,2019 Spring Term,96
alj39,9781,2019 Spring Term,86
avh12,21526,2019 Spring Term,82
aab73,9579,2018 Spring Term,97
ajt48,5027,2018 Spring Term,89
aec58,13670,2019 Spring Term,96
arc88,7796,2018 Fall Term,91
atg18,22130,2017 Fall Term,80
ajd61,18808,2018 Spring Term,99
aab74,19374,2018 Spring Term,96
atr22,12640,2018 Spring Term,76
apf23,24576,2018 Fall Term,87
acs79,14970,2018 Spring Term,87
ama90,16875,2017 Fall Term,90
alk42,10155,2018 Fall Term,97
aja34,22905,2018 Spring Term,95
asf47,5237,2018 Fall Term,77
ach79,24775,2017 Fall Term,98
ajd42,22905,2019 Spring Term,92
aja41,9781,2019 Spring Term,84
arc87,22912,2018 Fall Term,87
ald59,3824,2019 Spring Term,87
amp97,17409,2019 Spring Term,92
awj12,14447,2017 Fall Term,88
aem81,23278,2017 Fall Term,79
arl26,13076,2017 Fall Term,83
alc73,22675,2017 Fall Term,83
aeb89,1860,2019 Spring Term,95
ava13,19913,2017 Fall Term,99
arc66,8769,2019 Spring Term,95
ajp53,20906,2018 Spring Term,75
alt55,24656,2019 Spring Term,91
ajd43,1397,2019 Spring Term,82
asz13,22914,2019 Spring Term,86
ara38,23540,2017 Fall Term,78
act40,1854,2018 Fall Term,92
acg58,7550,2018 Fall Term,84
aje20,14970,2019 Spring Term,88
aep54,6495,2017 Fall Term,92
ags49,7884,2018 Fall Term,82
abt23,21852,2017 Fall Term,85
ajr89,12977,2019 Spring Term,99
act39,22156,2017 Fall Term,77
ajt47,7697,2018 Fall Term,85
awm21,13670,2018 Fall Term,89
ahm25,1004,2019 Spring Term,79
akr43,20824,2017 Fall Term,81
aeb77,21967,2019 Spring Term,87
afc26,3807,2018 Fall Term,84
amt66,2046,2018 Spring Term,87
ava17,13103,2017 Fall Term,78
amg33,19023,2018 Spring Term,95
amr68,4419,2019 Spring Term,95
anl31,23651,2018 Spring Term,75
alw97,4422,2019 Spring Term,97
alg90,24578,2019 Spring Term,86
asb89,13957,2018 Spring Term,93
aep41,15262,2018 Spring Term,79
akt24,5028,2019 Spring Term,92
aaa87,22918,2018 Fall Term,97
afc27,20357,2019 Spring Term,96
aam98,21967,2018 Spring Term,88
agw24,18275,2018 Spring Term,96
ath28,964,2017 Fall Term,82
amg99,2313,2019 Spring Term,98
arb71,7872,2017 Fall Term,91
ahw26,16220,2017 Fall Term,85
aet26,17911,2017 Fall Term,96
akh48,7789,2019 Spring Term,87
akh19,81,2018 Spring Term,78
alw97,82,2017 Fall Term,83
afg16,4062,2018 Fall Term,90
apj11,18276,2018 Spring Term,91
awg17,22918,2017 Fall Term,81
acm61,7269,2019 Spring Term,75
agm57,22965,2018 Fall Term,86
akh36,7884,2018 Fall Term,95
awf11,1004,2018 Spring Term,83
ado20,21706,2017 Fall Term,75
ara38,23922,2018 Spring Term,85
ahs50,1399,2017 Fall Term,86
aey11,12978,2018 Spring Term,78
aam66,13594,2017 Fall Term,98
ajl73,15264,2017 Fall Term,88
asa48,18808,2017 Fall Term,96
abm55,23651,2019 Spring Term,88
aar37,17911,2018 Fall Term,90
alh93,20818,2018 Fall Term,98
arl41,13670,2018 Spring Term,97
amf84,19023,2018 Spring Term,78
ast28,1424,2019 Spring Term,96
aab83,24135,2018 Fall Term,92
adc81,13594,2018 Fall Term,81
akc38,19374,2017 Fall Term,99
amz19,3807,2018 Fall Term,89
agc26,18272,2018 Fall Term,93
ajz10,25557,2019 Spring Term,93
aps59,15842,2018 Fall Term,97
aps44,23230,2019 Spring Term,78
ajn24,23893,2018 Spring Term,79
avs28,2728,2018 Spring Term,84
acw63,16221,2017 Fall Term,92
ama78,15842,2017 Fall Term,93
aww30,19468,2018 Fall Term,98
amk97,12571,2018 Spring Term,94
atr22,1424,2019 Spring Term,90
ajk46,20357,2018 Fall Term,99
asb81,1004,2018 Fall Term,91
akh11,9194,2018 Fall Term,90
ach81,13815,2019 Spring Term,86
aap45,9579,2019 Spring Term,84
amf80,13851,2019 Spring Term,99
akd12,22912,2019 Spring Term,94
aeb88,22914,2018 Fall Term,82
acs99,2728,2019 Spring Term,88
abd30,23651,2018 Spring Term,96
adm66,9781,2018 Spring Term,93
aac20,7625,2018 Fall Term,84
akr34,25098,2018 Spring Term,85
awb27,23953,2017 Fall Term,88
amg97,4766,2018 Fall Term,97
bac33,9579,2018 Spring Term,95
aba32,22914,2018 Fall Term,95
aej28,13851,2018 Spring Term,83
aef38,24349,2017 Fall Term,91
afa19,5904,2018 Fall Term,81
akr34,1461,2019 Spring Term,87
acz10,4417,2018 Fall Term,99
acs97,7253,2018 Fall Term,92
agm57,22912,2017 Fall Term,86
aak26,17806,2018 Fall Term,93
alw89,24400,2018 Fall Term,98
awm20,20953,2018 Fall Term,76
adf35,1853,2017 Fall Term,83
atc31,8766,2018 Fall Term,79
aak47,23893,2019 Spring Term,97
amf84,13815,2018 Fall Term,85
ahk22,22914,2017 Fall Term,97
adl41,8048,2017 Fall Term,99
act47,24135,2017 Fall Term,89
apk21,23893,2018 Spring Term,79
ajf46,14970,2018 Fall Term,94
ash78,7276,2018 Fall Term,92
adm39,25328,2018 Fall Term,76
aia11,964,2017 Fall Term,86
ale26,20906,2018 Fall Term,89
akm55,24420,2018 Spring Term,81
asb73,19923,2019 Spring Term,84
adw42,6792,2018 Fall Term,97
ans63,7258,2019 Spring Term,89
awk11,17428,2019 Spring Term,87
acm91,6792,2018 Fall Term,88
ajl71,5028,2019 Spring Term,81
aha24,22675,2017 Fall Term,79
ajh66,17410,2017 Fall Term,89
adb67,1403,2017 Fall Term,95
adl49,23922,2018 Spring Term,93
ava14,10022,2017 Fall Term,89
aga16,21534,2018 Spring Term,87
alj48,24775,2017 Fall Term,96
asc69,22203,2017 Fall Term,75
alp49,20823,2017 Fall Term,86
asf25,16955,2018 Fall Term,86
awc27,24432,2017 Fall Term,85
awl14,14970,2017 Fall Term,75
aje30,20824,2017 Fall Term,79
aro15,7550,2018 Fall Term,81
agh33,21706,2017 Fall Term,90
abb50,5718,2018 Fall Term,78
aey11,21528,2019 Spring Term,82
ast30,24774,2017 Fall Term,88
ard51,20130,2018 Spring Term,83
acj26,19468,2019 Spring Term,90
acj35,13594,2017 Fall Term,76
alk43,3743,2017 Fall Term,82
amo34,5718,2018 Fall Term,77
avm15,20188,2017 Fall Term,94
ajd43,7788,2017 Fall Term,80
ajj29,3511,2018 Spring Term,91
acl39,2945,2017 Fall Term,78
alc91,13103,2018 Fall Term,91
aps59,17124,2018 Fall Term,79
afm20,6792,2018 Fall Term,82
arh58,5720,2018 Spring Term,83
awc27,22914,2018 Fall Term,87
ash43,22409,2017 Fall Term,83
act40,6298,2018 Fall Term,76
ajp63,22918,2017 Fall Term,75
arh75,13103,2018 Spring Term,85
adf35,22965,2017 Fall Term,84
aer51,2586,2019 Spring Term,93
aam70,13076,2017 Fall Term,97
acm61,22329,2019 Spring Term,83
aal26,3513,2018 Fall Term,97
ats46,1006,2018 Fall Term,97
aem81,5028,2017 Fall Term,81
ali11,23876,2018 Spring Term,75
ajd57,7453,2017 Fall Term,95
aos11,7258,2018 Spring Term,77
aph35,5237,2018 Fall Term,75
ajl88,7596,2018 Spring Term,84
aps44,4773,2018 Fall Term,76
anh41,23338,2018 Spring Term,79
adb76,8048,2017 Fall Term,78
anc52,7872,2017 Fall Term,85
aep37,17806,2018 Spring Term,80
adc79,7692,2019 Spring Term,97
apa17,19913,2018 Fall Term,86
aee12,19765,2019 Spring Term,80
alc99,17498,2017 Fall Term,99
aos11,13956,2018 Fall Term,92
akk42,2315,2018 Spring Term,78
aaz10,2974,2018 Fall Term,98
asb81,25105,2019 Spring Term,98
atr24,5716,2018 Spring Term,78
ajp78,8766,2017 Fall Term,89
aee16,7979,2017 Fall Term,96
anc54,24138,2017 Fall Term,90
amf85,19765,2017 Fall Term,85
ado21,22203,2018 Fall Term,93
awj12,13670,2019 Spring Term,96
asr28,10030,2018 Spring Term,85
aer51,19765,2017 Fall Term,85
aal35,23893,2018 Spring Term,92
agb41,12979,2019 Spring Term,81
ark44,1853,2019 Spring Term,82
atg18,1410,2018 Fall Term,92
ach70,5796,2019 Spring Term,98
amg99,19400,2018 Fall Term,82
ars93,22914,2019 Spring Term,97
asp44,17410,2017 Fall Term,77
asy13,22912,2018 Fall Term,97
ags53,13594,2018 Fall Term,99
afg14,23893,2018 Spring Term,84
akr34,7694,2018 Spring Term,96
akv12,9789,2018 Spring Term,94
aef37,13848,2019 Spring Term,97
arh66,23651,2018 Spring Term,82
amf80,15230,2018 Spring Term,83
aae21,2965,2018 Fall Term,94
aaa63,23539,2017 Fall Term,93
agd26,4766,2017 Fall Term,89
aps44,19913,2017 Fall Term,94
acr43,7694,2018 Fall Term,96
asl49,23204,2018 Fall Term,95
acs99,5800,2018 Fall Term,77
asd41,18277,2017 Fall Term,76
aan18,24704,2018 Fall Term,97
aws31,8766,2018 Spring Term,81
afs37,81,2018 Fall Term,78
agl25,22914,2019 Spring Term,78
ajh66,20357,2018 Fall Term,92
ags42,5027,2019 Spring Term,75
ajw50,2974,2018 Fall Term,82
abl29,22505,2018 Spring Term,80
acr54,22914,2018 Fall Term,88
alr42,6875,2018 Spring Term,80
aib10,23204,2017 Fall Term,79
alk43,24576,2017 Fall Term,95
aia11,14567,2017 Fall Term,90
agr18,18282,2017 Fall Term,96
aha24,17428,2019 Spring Term,79
arc66,25279,2019 Spring Term,87
acm97,6792,2018 Spring Term,93
asb89,18275,2018 Spring Term,99
amk85,2046,2017 Fall Term,87
ats33,20818,2017 Fall Term,76
ajl82,24372,2018 Spring Term,82
adp33,7453,2018 Spring Term,89
aro13,19400,2018 Fall Term,76
ajf40,5020,2018 Spring Term,84
acr54,7906,2018 Fall Term,79
ado21,2046,2018 Fall Term,87
aaw49,7974,2017 Fall Term,81
apl18,17124,2019 Spring Term,88
adk35,15067,2019 Spring Term,77
anh41,20138,2019 Spring Term,81
alw97,9781,2019 Spring Term,75
awm27,22906,2018 Fall Term,82
aks86,10977,2017 Fall Term,75
ajg76,6840,2018 Spring Term,97
